Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,API\API.csproj,File,API\API.csproj,,,Microsoft.AspNetCore.Authentication.Google 7.0.4,,,,,"Microsoft.AspNetCore.Authentication.Google, 7.0.4  Recommendation:  Remove Microsoft.AspNetCore.Authentication.Google, and replace with new package Microsoft.AspNetCore.Authentication.Google 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,API\API.csproj,File,API\API.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 7.0.4,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 7.0.4  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,API\API.csproj,File,API\API.csproj,,,Microsoft.AspNetCore.SpaProxy 7.0.5,,,,,"Microsoft.AspNetCore.SpaProxy, 7.0.5  Recommendation:  Remove Microsoft.AspNetCore.SpaProxy, and replace with new package Microsoft.AspNetCore.SpaProxy 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,API\API.csproj,File,API\API.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 7.0.4,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 7.0.4  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,API\API.csproj,File,API\API.csproj,,,Microsoft.EntityFrameworkCore 7.0.4,,,,,"Microsoft.EntityFrameworkCore, 7.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,API\API.csproj,File,API\API.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 7.0.4,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 7.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,API\API.csproj,File,API\API.csproj,,,Microsoft.EntityFrameworkCore.Proxies 7.0.4,,,,,"Microsoft.EntityFrameworkCore.Proxies, 7.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore.Proxies, and replace with new package Microsoft.EntityFrameworkCore.Proxies 10.0.5"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,API\API.csproj,File,API\API.csproj,,,AutoMapper 12.0.1,,,,,"AutoMapper, 12.0.1  Recommendation:  AutoMapper, 16.1.1"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,API\API.csproj,File,API\API.csproj,,,MimeKit 3.6.0,,,,,"MimeKit, 3.6.0  Recommendation:  MimeKit, 4.15.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,API\API.csproj,File,API\API.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,API\API.csproj,File,API\Program.cs,59,2,P:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerOptions.TokenValidationParameters,,,,,"options.TokenValidationParameters = new TokenValidationParameters  		{  			ValidateIssuer = true,  			ValidIssuer = AuthOptions.ISSUER,  			ValidateAudience = true,  			ValidAudience = AuthOptions.AUDIENCE,  			ValidateLifetime = true,  			IssuerSigningKey = AuthOptions.GetSymmetricSecurityKey(),  			ValidateIssuerSigningKey = true,  		};"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,API\API.csproj,File,API\Program.cs,56,0,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults,,,,,"builder.Services.AddAuthentication(JwtBearerDefaults.AuthenticationScheme)  	.AddJwtBearer(options =>  	{  		options.TokenValidationParameters = new TokenValidationParameters  		{  			ValidateIssuer = true,  			ValidIssuer = AuthOptions.ISSUER,  			ValidateAudience = true,  			ValidAudience = AuthOptions.AUDIENCE,  			ValidateLifetime = true,  			IssuerSigningKey = AuthOptions.GetSymmetricSecurityKey(),  			ValidateIssuerSigningKey = true,  		};  	});"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,API\API.csproj,File,API\Program.cs,56,0,F:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults.AuthenticationScheme,,,,,"builder.Services.AddAuthentication(JwtBearerDefaults.AuthenticationScheme)  	.AddJwtBearer(options =>  	{  		options.TokenValidationParameters = new TokenValidationParameters  		{  			ValidateIssuer = true,  			ValidIssuer = AuthOptions.ISSUER,  			ValidateAudience = true,  			ValidAudience = AuthOptions.AUDIENCE,  			ValidateLifetime = true,  			IssuerSigningKey = AuthOptions.GetSymmetricSecurityKey(),  			ValidateIssuerSigningKey = true,  		};  	});"
